filename,gender,speaker,gradelevel,sentence,modification,intensity,f0,f1,f2,f3,snr,spr,score,accuracy,insertion,deletion,substitution,words
MLSS1BI2,M,LSS,1,BI,2,64.22,265.17,1282.3,2720.37,4200.57,13.9288,2.056359,5.43,0.36,0,14,4,25
MLSS1BJ2,M,LSS,1,BJ,2,61.67,291.07,1180.67,2813.52,4310.54,16.5329,1.739927,5.42,0.11,0,14,1,18
MLSS1BK2,M,LSS,1,BK,2,62.36,281.25,1330.46,2852.16,4306.54,16.2025,1.532312,5.51,0.38,0,21,4,37
MLSS1BL2,M,LSS,1,BL,2,66.52,291.97,1157.23,2748.66,4372.66,13.7558,5.588235,4.76,0.33,0,8,0,12
MLSS1BM2,M,LSS,1,BM,2,65.12,265.8,1333.55,2896.81,4267.57,21.2325,2.144772,5.12,0.23,0,17,6,30
MLSS1BN2,M,LSS,1,BN,2,66.62,284.76,1184.73,2913.02,4385.08,19.683,5.128205,5.09,0.28,0,15,3,25
MLSS1BO2,M,LSS,1,BO,2,64.95,276.65,1295.09,3161.96,4583.7,12.9208,3.773585,6.56,0.23,0,8,2,13
MLSS1BQ2,M,LSS,1,BQ,2,61.42,270.04,1263.23,3033.68,4429.42,15.8008,3.69863,5.77,0.33,0,12,2,21
MMXH1AA2,M,MXH,1,AA,2,41.8,351.37,1606.13,2786.89,4074.74,6.011,0,5.89,0,0,2,1,3
MMXH1AB2,M,MXH,1,AB,2,65.6,220.17,1204.08,2881.32,3880.48,2.1831,0,4.9,0,0,6,2,8
MMXH1AC2,M,MXH,1,AC,2,69.64,220.86,1259.95,2363.59,3852.77,0.0399,0,6.2,0,0,7,1,8
MMXH1AD2,M,MXH,1,AD,2,66.35,255.46,1411.78,2725.55,4027.47,17.5721,2.266667,5.43,0.2,0,15,2,20
MMXH1AE2,M,MXH,1,AE,2,65.43,229.26,1568.16,2828.13,4088.88,17.1886,0.762195,3.83,0.05,0,15,5,22
MMXH1AF2,M,MXH,1,AF,2,62.66,223.58,1601.69,2817.57,4138.97,18.8812,1.25261,3.34,0.5,1,0,3,4
MMXH1AG2,M,MXH,1,AG,2,70.6,241.21,1232.34,2766.3,3990.15,21.8862,0.792666006,3.92,0.23,0,11,7,22
MMXH1AH2,M,MXH,1,AH,2,72.48,265.78,1037.49,2802.16,4026.33,9.5782,0,1,0,0,3,1,4
MMXH1AI2,M,MXH,1,AI,2,70.12,235.08,1341.3,2723.1,4023.59,21.3886,0.875,3.36,0.19,0,9,6,16
MMXH1AJ2,M,MXH,1,AJ,2,69.25,236.57,1506.76,2800.44,4121.9,30.1398,1.956272,4.67,0.21,0,14,0,19
MMXH1AK2,M,MXH,1,AK,2,67.34,231.96,1288.53,2503.59,3943.34,22.7587,0.883838,5.19,0.15,0,13,4,20
MMXH1AL2,M,MXH,1,AL,2,65.62,239.4,1273.53,2709.47,3965.15,24.5169,13.422819,3.83,0.13,0,8,4,16
MMXH1AM2,M,MXH,1,AM,2,68.67,253.53,1235.88,2636.68,3891.82,21.0355,0.70922,4.08,0,0,10,6,16
MMXH1AN2,M,MXH,1,AN,2,75.71,224.1,1386.4,2635.9,4119.09,17.3293,1.515152,3.09,0,1,0,6,7
MMXH1AO2,M,MXH,1,AO,2,71.95,219.93,1280.79,2713.5,4055.21,33.4606,1.167315,3.22,0.17,0,8,3,12
